Service,Customer Name,Vehicle Model,Service Type,Service Date,Service Cost,Service Status,Payment Method,Technician
SVC1520,John Doe,Toyota Corolla,Battery Replacement,5/21/2024,"$72,318.80 ",Pending,Card,Tech23
SVC1521,Fatima Bello,Ford Focus,Engine Diagnostics,10/18/2025,"$49,369.90 ",In Progress,Card,Tech20
SVC1522,Adewale Musa,Toyota Corolla,Brake Repair,21/03/2025,"$95,063.20 ",Completed,Transfer,Tech50
SVC1523,Grace Johnson,Toyota Corolla,Brake Repair,8/10/2025,"$127,177.50 ",Cancelled,Transfer,Tech41
SVC1524,Tunde Bakare,Hyundai Elantra,Unknown Service,6/18/2023,"$148,444.80 ",Completed,Card,Tech2
SVC1525,Adewale Musa,Ford Focus,Engine Diagnostics,8/24/2025,"$116,669.00 ",Completed,Transfer,Tech43
SVC1526,Fatima Bello,Honda Accord,Brake Repair,1/20/2024,"$142,560.40 ",In Progress,Transfer,Tech16
SVC988,Jane Smith,Toyota Corolla,Wheel Alignment,19/02/2025,"$75,848.90 ",In Progress,Transfer,Tech47
SVC1528,Chinedu Okeke,Toyota Corolla,Battery Replacement,3/7/2023,"$61,710.30 ",Completed,Card,Tech32
SVC1529,Jane Smith,Nissan Altima,Oil Change,10/31/2024,"$88,388.30 ",Completed,Card,Tech36
SVC1531,Grace Johnson,Honda Accord,Oil Change,11/22/2023,"$720,908.40 ",In Progress,Cash,Tech32
SVC1532,John Doe,Honda Accord,Battery Replacement,10/2/2025,"$135,494.90 ",Pending,Transfer,Tech7
SVC1533,Emeka Obi,Ford Focus,Engine Diagnostics,25/05/2024,"$136,766.80 ",In Progress,Cash,Tech47
SVC1534,John Doe,Honda Accord,Brake Repair,17/05/2023,"$15,613.40 ",Cancelled,Transfer,Tech2
SVC1535,Adewale Musa,Kia Rio,Ac Service,8/4/2025,"$75,290.10 ",Completed,Transfer,Tech22
SVC1536,Chinedu Okeke,Honda Accord,Engine Diagnostics,10/31/2024,"$82,524.80 ",Pending,Transfer,Tech14
SVC1537,John Doe,Honda Accord,Ac Service,8/25/2024,"$126,292.70 ",Pending,Transfer,Tech48
SVC1538,Grace Johnson,Toyota Corolla,Oil Change,6/24/2025,"$18,251.00 ",Cancelled,Transfer,Tech13
SVC1539,Emeka Obi,Kia Rio,Wheel Alignment,3/5/2024,"$79,312.50 ",Completed,Transfer,Tech45
SVC1540,Grace Johnson,Kia Rio,Brake Repair,4/1/2023,"$63,310.20 ",In Progress,Transfer,Tech37
SVC1541,Tunde Bakare,Toyota Corolla,Oil Change,12/22/2023,"$77,438.50 ",Completed,Cash,Tech5
SVC1542,Tunde Bakare,Nissan Altima,Wheel Alignment,9/9/2024,"$97,126.30 ",In Progress,Card,Tech48
SVC1543,Grace Johnson,Nissan Altima,Engine Diagnostics,11/11/2024,"$94,370.60 ",In Progress,Card,Tech18
SVC1544,Grace Johnson,Toyota Corolla,Brake Repair,4/21/2024,"$148,340.00 ",Cancelled,Transfer,Tech45
SVC1545,Chinedu Okeke,Honda Accord,Ac Service,5/2/2024,"$40,126.10 ",Cancelled,Cash,Tech44
SVC1546,Chinedu Okeke,Kia Rio,Wheel Alignment,11/9/2024,"$15,147.80 ",In Progress,Card,Tech14
SVC1547,Jane Smith,Honda Accord,Battery Replacement,5/13/2023,"$109,642.70 ",Completed,Transfer,Tech5
SVC1548,Adewale Musa,Kia Rio,Brake Repair,29/09/2024,"$29,326.10 ",Pending,Transfer,Tech7
SVC1549,Jane Smith,Hyundai Elantra,Unknown Service,3/26/2025,"$60,165.30 ",Pending,Card,Tech22
SVC1550,Tunde Bakare,Ford Focus,Wheel Alignment,12/26/2023,"$139,225.20 ",In Progress,Transfer,Tech40
SVC1551,Grace Johnson,Ford Focus,Battery Replacement,10/3/2025,"$115,627.90 ",In Progress,Card,Tech21
SVC1553,Emeka Obi,Toyota Corolla,Battery Replacement,29/11/2023,"$116,791.00 ",Pending,Cash,Tech45
SVC1554,Grace Johnson,Ford Focus,Ac Service,1/26/2023,"$100,480.50 ",Cancelled,Cash,Tech9
SVC1556,Chinedu Okeke,Toyota Corolla,Ac Service,10/22/2025,"$148,118.70 ",Pending,Card,Tech19
SVC1557,Jane Smith,Toyota Corolla,Brake Repair,9/22/2024,"$31,387.70 ",Completed,Transfer,Tech31
SVC1558,Adewale Musa,Kia Rio,Ac Service,2/10/2024,"$16,572.40 ",Pending,Transfer,Tech22
SVC1559,Emeka Obi,Ford Focus,Unknown Service,12/8/2023,"$35,604.90 ",In Progress,Transfer,Tech32
SVC1560,Tunde Bakare,Honda Accord,Ac Service,1/9/2025,"$59,873.20 ",Pending,Card,Tech46
SVC1561,Tunde Bakare,Kia Rio,Unknown Service,5/24/2024,"$70,528.10 ",Completed,Transfer,Tech38
SVC1562,Emeka Obi,Ford Focus,Ac Service,10/28/2024,"$38,866.00 ",Pending,Cash,Tech6
SVC1563,Jane Smith,Ford Focus,Oil Change,8/24/2024,"$33,286.20 ",Pending,Cash,Tech27
SVC1564,Adewale Musa,Kia Rio,Engine Diagnostics,13/06/2025,"$35,687.90 ",In Progress,Transfer,Tech13
SVC1565,Fatima Bello,Nissan Altima,Brake Repair,1/4/2023,"$37,414.90 ",Completed,Transfer,Tech2
SVC1566,Grace Johnson,Hyundai Elantra,Brake Repair,3/20/2025,"$13,973.30 ",Completed,Card,Tech31
SVC902,Grace Johnson,Hyundai Elantra,Wheel Alignment,10/17/2024,"$83,052.50 ",In Progress,Cash,Tech1
SVC1568,Chinedu Okeke,Kia Rio,Brake Repair,7/3/2024,"$77,844.80 ",Completed,Transfer,Tech13
SVC1569,Grace Johnson,Ford Focus,Unknown Service,9/14/2024,"$106,559.10 ",Completed,Transfer,Tech32
SVC1570,Chinedu Okeke,Toyota Corolla,Unknown Service,10/30/2023,"$99,921.90 ",Pending,Card,Tech28
SVC1571,Adewale Musa,Kia Rio,Ac Service,8/7/2025,"$142,807.70 ",In Progress,Transfer,Tech48
SVC1572,Adewale Musa,Nissan Altima,Unknown Service,7/14/2024,"$44,906.30 ",Pending,Cash,Tech50
SVC1573,Emeka Obi,Ford Focus,Ac Service,5/11/2023,"$120,179.80 ",Completed,Transfer,Tech14
SVC1574,Emeka Obi,Ford Focus,Engine Diagnostics,9/9/2023,"$126,385.90 ",Completed,Cash,Tech47
SVC1575,Fatima Bello,Toyota Corolla,Brake Repair,5/23/2024,"$23,678.30 ",Cancelled,Cash,Tech10
SVC1576,Chinedu Okeke,Hyundai Elantra,Wheel Alignment,7/22/2023,"$11,694.10 ",Completed,Transfer,Tech23
SVC1577,Grace Johnson,Kia Rio,Battery Replacement,6/17/2024,"$39,379.60 ",In Progress,Card,Tech6
SVC1578,Fatima Bello,Nissan Altima,Battery Replacement,1/30/2024,"$99,216.50 ",Pending,Cash,Tech37
SVC1579,Tunde Bakare,Hyundai Elantra,Unknown Service,7/20/2023,"$86,728.10 ",Pending,Transfer,Tech43
SVC1580,Grace Johnson,Nissan Altima,Engine Diagnostics,7/9/2024,"$23,070.10 ",In Progress,Card,Tech6
SVC1582,Tunde Bakare,Ford Focus,Unknown Service,16/09/2023,"$193,645.90 ",Pending,Transfer,Tech35
SVC996,Grace Johnson,Toyota Corolla,Unknown Service,7/18/2024,"$59,926.10 ",Cancelled,Cash,Tech39
SVC1584,Jane Smith,Hyundai Elantra,Oil Change,7/6/2023,"$80,486.20 ",In Progress,Transfer,Tech28
SVC1585,John Doe,Toyota Corolla,Brake Repair,8/17/2024,"$142,005.70 ",Completed,Card,Tech10
SVC1586,Adewale Musa,Honda Accord,Unknown Service,12/29/2024,"$75,053.10 ",Completed,Card,Tech41
SVC1587,Emeka Obi,Honda Accord,Oil Change,4/21/2025,"$94,251.90 ",Pending,Transfer,Tech34
SVC1588,Emeka Obi,Nissan Altima,Unknown Service,6/17/2025,"$1,374,008.20 ",Completed,Transfer,Tech23
SVC1589,Jane Smith,Kia Rio,Brake Repair,2/12/2024,"$28,466.00 ",Pending,Card,Tech50
SVC1590,Jane Smith,Honda Accord,Ac Service,9/27/2023,"$144,156.30 ",In Progress,Card,Tech41
SVC1591,Chinedu Okeke,Toyota Corolla,Unknown Service,9/10/2025,"$143,863.40 ",In Progress,Transfer,Tech32
SVC1592,John Doe,Honda Accord,Battery Replacement,2/11/2024,"$45,922.40 ",In Progress,Card,Tech20
SVC1594,Jane Smith,Honda Accord,Oil Change,5/23/2025,"$94,387.80 ",In Progress,Transfer,Tech47
SVC1595,Jane Smith,Hyundai Elantra,Brake Repair,4/16/2023,"$20,958.00 ",In Progress,Card,Tech31
SVC1596,Adewale Musa,Ford Focus,Oil Change,3/10/2024,"$73,448.40 ",Pending,Card,Tech13
SVC1597,John Doe,Toyota Corolla,Unknown Service,1/8/2025,"$112,725.10 ",Pending,Transfer,Tech32
SVC1598,Jane Smith,Nissan Altima,Ac Service,26/01/2024,"$107,175.70 ",In Progress,Card,Tech1
SVC1600,Tunde Bakare,Kia Rio,Ac Service,6/1/2024,"$146,393.30 ",Cancelled,Card,Tech38
SVC1601,Fatima Bello,Hyundai Elantra,Oil Change,4/4/2023,"$13,815.00 ",Completed,Card,Tech20
SVC1603,Fatima Bello,Honda Accord,Battery Replacement,3/27/2024,"$44,366.70 ",Pending,Transfer,Tech21
SVC1604,Jane Smith,Toyota Corolla,Unknown Service,3/6/2024,"$107,696.90 ",Completed,Transfer,Tech32
SVC1605,Emeka Obi,Nissan Altima,Battery Replacement,10/26/2024,"$21,846.80 ",In Progress,Transfer,Tech18
SVC1606,Adewale Musa,Hyundai Elantra,Oil Change,2/27/2024,"$957,635.20 ",In Progress,Cash,Tech47
SVC1607,John Doe,Honda Accord,Wheel Alignment,29/07/2025,"$36,992.70 ",In Progress,Cash,Tech5
SVC1608,Jane Smith,Honda Accord,Battery Replacement,10/21/2023,"$123,261.70 ",Completed,Card,Tech44
SVC1609,Jane Smith,Honda Accord,Brake Repair,1/28/2023,"$66,827.30 ",Completed,Transfer,Tech45
SVC1610,Emeka Obi,Hyundai Elantra,Engine Diagnostics,12/1/2023,"$24,166.00 ",Completed,Card,Tech16
SVC1611,Adewale Musa,Hyundai Elantra,Unknown Service,3/1/2023,"$53,104.70 ",Pending,Card,Tech6
SVC1612,Grace Johnson,Honda Accord,Ac Service,8/10/2024,"$8,480.10 ",Pending,Transfer,Tech17
SVC1613,Chinedu Okeke,Hyundai Elantra,Engine Diagnostics,7/3/2025,"$16,062.00 ",Completed,Cash,Tech29
SVC1614,John Doe,Kia Rio,Battery Replacement,13/11/2024,"$131,933.30 ",In Progress,Cash,Tech19
SVC1615,Jane Smith,Honda Accord,Unknown Service,28/06/2023,"$123,124.20 ",Pending,Transfer,Tech47
SVC1616,John Doe,Ford Focus,Unknown Service,31/07/2025,"$121,310.40 ",In Progress,Card,Tech7
SVC1619,Fatima Bello,Ford Focus,Engine Diagnostics,5/19/2025,"$57,447.90 ",Completed,Cash,Tech35
SVC1620,Jane Smith,Kia Rio,Wheel Alignment,12/22/2023,"$126,111.60 ",Completed,Transfer,Tech39
SVC1621,Emeka Obi,Hyundai Elantra,Engine Diagnostics,7/8/2023,"$12,842.10 ",In Progress,Card,Tech46
SVC1622,Grace Johnson,Ford Focus,Ac Service,8/7/2023,"$28,250.60 ",Completed,Card,Tech6
SVC1623,John Doe,Toyota Corolla,Wheel Alignment,11/9/2024,"$59,746.20 ",Cancelled,Card,Tech32
SVC1624,Emeka Obi,Nissan Altima,Brake Repair,11/7/2023,"$12,927.40 ",In Progress,Card,Tech31
SVC1625,Tunde Bakare,Hyundai Elantra,Brake Repair,6/1/2025,"$357,269.40 ",In Progress,Card,Tech14
SVC1626,Adewale Musa,Nissan Altima,Brake Repair,9/25/2024,"$134,994.10 ",Cancelled,Card,Tech11
SVC1627,Adewale Musa,Toyota Corolla,Unknown Service,12/24/2024,"$133,238.30 ",Completed,Card,Tech46
SVC1628,Emeka Obi,Ford Focus,Engine Diagnostics,1/14/2025,"$134,148.60 ",Completed,Cash,Tech4
SVC1629,Fatima Bello,Nissan Altima,Engine Diagnostics,6/22/2024,"$130,792.40 ",In Progress,Card,Tech7
SVC1630,Grace Johnson,Nissan Altima,Engine Diagnostics,3/6/2025,"$15,314.40 ",Cancelled,Cash,Tech13
SVC1631,Tunde Bakare,Kia Rio,Wheel Alignment,10/11/2024,"$63,136.20 ",Completed,Card,Tech38
SVC1632,Grace Johnson,Hyundai Elantra,Engine Diagnostics,2/17/2025,"$94,989.00 ",Completed,Cash,Tech34
SVC1633,Tunde Bakare,Hyundai Elantra,Battery Replacement,6/9/2023,"$102,026.80 ",Completed,Transfer,Tech39
SVC1634,John Doe,Kia Rio,Engine Diagnostics,6/22/2024,"$149,483.50 ",Pending,Cash,Tech30
SVC1635,Jane Smith,Nissan Altima,Ac Service,12/2/2025,"$140,786.70 ",In Progress,Transfer,Tech49
SVC1636,Adewale Musa,Toyota Corolla,Ac Service,4/20/2025,"$94,394.30 ",Pending,Cash,Tech24
SVC1637,Grace Johnson,Hyundai Elantra,Ac Service,8/3/2024,"$109,731.50 ",Pending,Cash,Tech36
SVC1638,Jane Smith,Nissan Altima,Battery Replacement,6/28/2025,"$56,070.60 ",In Progress,Card,Tech6
SVC1639,Fatima Bello,Toyota Corolla,Unknown Service,8/8/2025,"$140,995.70 ",In Progress,Cash,Tech18
SVC1640,Chinedu Okeke,Toyota Corolla,Battery Replacement,1/9/2023,"$892,788.70 ",Pending,Transfer,Tech4
SVC1641,Jane Smith,Hyundai Elantra,Wheel Alignment,4/16/2023,"$136,659.10 ",In Progress,Transfer,Tech10
SVC1642,John Doe,Ford Focus,Wheel Alignment,6/16/2024,"$97,378.20 ",Completed,Cash,Tech24
SVC1643,Chinedu Okeke,Toyota Corolla,Ac Service,21/02/2023,"$67,219.90 ",In Progress,Cash,Tech12
SVC1644,Adewale Musa,Ford Focus,Ac Service,4/16/2023,"$28,062.70 ",Pending,Card,Tech6
SVC1645,Chinedu Okeke,Nissan Altima,Brake Repair,10/9/2025,"$147,595.10 ",Completed,Cash,Tech15
SVC1646,John Doe,Kia Rio,Engine Diagnostics,26/11/2023,"$17,029.70 ",Completed,Transfer,Tech24
SVC1647,Jane Smith,Toyota Corolla,Battery Replacement,3/2/2023,"$137,344.30 ",Pending,Cash,Tech21
SVC1648,Grace Johnson,Nissan Altima,Ac Service,13/09/2025,"$48,319.50 ",Completed,Cash,Tech1
SVC1649,Fatima Bello,Toyota Corolla,Brake Repair,3/15/2025,"$8,340.50 ",Cancelled,Card,Tech42
SVC970,Fatima Bello,Ford Focus,Brake Repair,29/05/2025,"$143,218.30 ",Pending,Cash,Tech30
SVC1652,Emeka Obi,Kia Rio,Ac Service,3/26/2025,"$89,629.00 ",In Progress,Cash,Tech22
SVC1653,Chinedu Okeke,Honda Accord,Battery Replacement,1/23/2023,"$87,235.60 ",Completed,Cash,Tech14
SVC1654,Jane Smith,Hyundai Elantra,Wheel Alignment,5/13/2025,"$21,624.20 ",Completed,Cash,Tech48
SVC1655,John Doe,Hyundai Elantra,Oil Change,4/29/2024,"$35,997.00 ",Completed,Cash,Tech32
SVC1657,Emeka Obi,Ford Focus,Battery Replacement,2/3/2023,"$51,078.60 ",Cancelled,Transfer,Tech11
SVC1658,Grace Johnson,Nissan Altima,Battery Replacement,10/7/2025,"$80,839.60 ",Completed,Cash,Tech16
SVC1659,Grace Johnson,Ford Focus,Ac Service,1/11/2023,"$73,134.50 ",In Progress,Transfer,Tech5
SVC1660,Chinedu Okeke,Toyota Corolla,Battery Replacement,15/09/2025,"$127,246.00 ",Pending,Card,Tech3
SVC1661,Chinedu Okeke,Toyota Corolla,Engine Diagnostics,3/11/2024,"$42,654.70 ",Completed,Cash,Tech19
SVC1662,Emeka Obi,Honda Accord,Battery Replacement,10/30/2025,"$51,303.20 ",Completed,Cash,Tech21
SVC1663,Jane Smith,Kia Rio,Wheel Alignment,10/29/2023,"$18,310.90 ",Completed,Transfer,Tech1
SVC1664,Tunde Bakare,Ford Focus,Wheel Alignment,12/26/2024,"$102,222.40 ",Pending,Cash,Tech17
SVC1665,Fatima Bello,Hyundai Elantra,Brake Repair,4/8/2025,"$137,548.20 ",Completed,Cash,Tech29
SVC1666,Fatima Bello,Nissan Altima,Brake Repair,1/15/2024,"$132,048.50 ",Cancelled,Transfer,Tech16
SVC1669,Emeka Obi,Honda Accord,Wheel Alignment,5/26/2025,"$61,968.40 ",In Progress,Card,Tech22
SVC1670,Tunde Bakare,Nissan Altima,Battery Replacement,8/13/2023,"$136,628.50 ",Cancelled,Cash,Tech33
SVC1671,Jane Smith,Nissan Altima,Battery Replacement,7/15/2025,"$8,019.90 ",Completed,Card,Tech18
SVC1672,Fatima Bello,Hyundai Elantra,Battery Replacement,8/19/2023,"$123,744.30 ",In Progress,Card,Tech29
SVC1673,John Doe,Nissan Altima,Battery Replacement,2/27/2024,"$111,548.20 ",Completed,Cash,Tech14
SVC1674,Adewale Musa,Ford Focus,Ac Service,5/4/2025,"$104,438.70 ",In Progress,Card,Tech21
SVC1675,Emeka Obi,Kia Rio,Ac Service,13/08/2025,"$33,107.10 ",Completed,Transfer,Tech33
SVC1676,John Doe,Toyota Corolla,Ac Service,4/19/2023,"$498,518.80 ",Pending,Card,Tech24
SVC1677,Adewale Musa,Toyota Corolla,Battery Replacement,6/3/2025,"$80,862.00 ",In Progress,Transfer,Tech43
SVC1678,Jane Smith,Ford Focus,Ac Service,12/21/2023,"$49,344.10 ",Completed,Card,Tech44
SVC1679,Chinedu Okeke,Hyundai Elantra,Engine Diagnostics,1/11/2024,"$138,147.70 ",Pending,Transfer,Tech8
SVC1680,Emeka Obi,Hyundai Elantra,Unknown Service,8/2/2025,"$68,193.40 ",Completed,Transfer,Tech32
SVC1681,Emeka Obi,Toyota Corolla,Wheel Alignment,4/20/2023,"$118,448.80 ",Completed,Cash,Tech17
SVC1682,Jane Smith,Kia Rio,Unknown Service,11/9/2024,"$1,373,209.50 ",Cancelled,Card,Tech44
SVC1683,Tunde Bakare,Kia Rio,Oil Change,9/8/2024,"$23,260.70 ",In Progress,Transfer,Tech50
SVC1684,Tunde Bakare,Honda Accord,Oil Change,2/20/2023,"$22,609.20 ",In Progress,Transfer,Tech21
SVC1685,Grace Johnson,Hyundai Elantra,Brake Repair,1/22/2025,"$109,275.60 ",Completed,Card,Tech40
SVC1686,Chinedu Okeke,Toyota Corolla,Ac Service,6/29/2025,"$69,353.30 ",In Progress,Cash,Tech6
SVC1687,Jane Smith,Nissan Altima,Battery Replacement,24/12/2023,"$61,722.40 ",Completed,Transfer,Tech14
SVC1688,Emeka Obi,Hyundai Elantra,Engine Diagnostics,2/3/2023,"$56,020.70 ",Completed,Cash,Tech5
SVC1689,Chinedu Okeke,Toyota Corolla,Engine Diagnostics,5/10/2025,"$107,732.50 ",Pending,Cash,Tech12
SVC1690,John Doe,Honda Accord,Ac Service,12/2/2025,"$38,597.10 ",Completed,Cash,Tech10
SVC1691,Adewale Musa,Kia Rio,Brake Repair,2/19/2023,"$13,979.40 ",Pending,Transfer,Tech1
SVC1692,Tunde Bakare,Hyundai Elantra,Ac Service,12/31/2024,"$148,386.30 ",Completed,Transfer,Tech49
SVC1693,Adewale Musa,Ford Focus,Engine Diagnostics,4/17/2024,"$34,513.20 ",Completed,Card,Tech45
SVC1694,Fatima Bello,Toyota Corolla,Battery Replacement,11/26/2025,"$92,216.00 ",Pending,Transfer,Tech49
SVC1695,John Doe,Ford Focus,Engine Diagnostics,2/15/2024,"$77,506.80 ",Pending,Cash,Tech49
SVC1696,Chinedu Okeke,Ford Focus,Ac Service,2/6/2024,"$133,764.10 ",Completed,Cash,Tech37
SVC1697,Adewale Musa,Honda Accord,Battery Replacement,6/15/2025,"$93,180.10 ",Cancelled,Cash,Tech41
SVC1698,Jane Smith,Hyundai Elantra,Brake Repair,31/01/2023,"$135,086.30 ",In Progress,Cash,Tech25
SVC1699,Chinedu Okeke,Honda Accord,Battery Replacement,9/8/2023,"$122,830.20 ",Pending,Transfer,Tech31
SVC1701,Fatima Bello,Toyota Corolla,Battery Replacement,10/28/2025,"$16,074.80 ",Completed,Card,Tech4
SVC1702,Chinedu Okeke,Nissan Altima,Ac Service,10/18/2023,"$12,829.60 ",Completed,Transfer,Tech31
SVC1703,John Doe,Ford Focus,Brake Repair,11/19/2024,"$146,796.90 ",Pending,Card,Tech28
SVC1704,John Doe,Hyundai Elantra,Ac Service,1/2/2024,"$122,485.30 ",Pending,Transfer,Tech3
SVC1705,Grace Johnson,Toyota Corolla,Ac Service,10/11/2024,"$72,095.00 ",Completed,Transfer,Tech29
SVC1706,John Doe,Hyundai Elantra,Unknown Service,10/21/2023,"$85,244.10 ",In Progress,Transfer,Tech6
SVC1707,Tunde Bakare,Ford Focus,Ac Service,8/6/2023,"$52,348.40 ",Pending,Cash,Tech2
SVC1708,Tunde Bakare,Nissan Altima,Ac Service,10/28/2025,"$35,664.60 ",Pending,Transfer,Tech40
SVC1709,Adewale Musa,Honda Accord,Brake Repair,5/14/2024,"$96,397.00 ",Completed,Cash,Tech41
SVC1710,Adewale Musa,Honda Accord,Battery Replacement,6/17/2024,"$40,245.60 ",Cancelled,Transfer,Tech2
SVC1711,Adewale Musa,Toyota Corolla,Wheel Alignment,6/23/2024,"$78,318.30 ",In Progress,Transfer,Tech24
SVC1712,John Doe,Ford Focus,Engine Diagnostics,26/12/2024,"$54,527.90 ",Completed,Card,Tech25
SVC1713,Jane Smith,Honda Accord,Ac Service,4/17/2025,"$108,150.40 ",Pending,Card,Tech4
SVC1714,Grace Johnson,Kia Rio,Ac Service,7/17/2025,"$63,336.00 ",In Progress,Transfer,Tech48
SVC1715,Fatima Bello,Kia Rio,Brake Repair,27/03/2023,"$112,401.10 ",Completed,Cash,Tech32
SVC1716,Fatima Bello,Ford Focus,Oil Change,6/15/2024,"$51,463.40 ",Pending,Card,Tech2
SVC1717,Jane Smith,Hyundai Elantra,Oil Change,6/4/2025,"$67,428.00 ",In Progress,Cash,Tech22
SVC1718,John Doe,Hyundai Elantra,Engine Diagnostics,11/16/2025,"$114,253.00 ",Pending,Transfer,Tech12
SVC1720,Jane Smith,Toyota Corolla,Wheel Alignment,9/2/2025,"$43,143.20 ",In Progress,Transfer,Tech15
SVC1721,Chinedu Okeke,Ford Focus,Unknown Service,1/7/2023,"$107,487.40 ",In Progress,Cash,Tech23
SVC1722,Chinedu Okeke,Toyota Corolla,Battery Replacement,6/9/2024,"$102,635.40 ",In Progress,Cash,Tech14
SVC1723,Adewale Musa,Nissan Altima,Brake Repair,7/4/2025,"$14,752.90 ",In Progress,Cash,Tech6
SVC1724,Emeka Obi,Toyota Corolla,Brake Repair,4/25/2024,"$131,880.70 ",Pending,Transfer,Tech46
SVC1725,Adewale Musa,Honda Accord,Wheel Alignment,6/17/2024,"$40,872.50 ",In Progress,Cash,Tech32
SVC1726,Jane Smith,Kia Rio,Wheel Alignment,9/22/2023,"$43,906.00 ",Completed,Transfer,Tech27
SVC1727,Chinedu Okeke,Kia Rio,Engine Diagnostics,11/18/2023,"$83,266.30 ",In Progress,Card,Tech23
SVC994,Adewale Musa,Hyundai Elantra,Brake Repair,10/24/2025,"$62,351.30 ",In Progress,Transfer,Tech8
SVC940,Jane Smith,Ford Focus,Ac Service,2/2/2024,"$1,197,448.00 ",Completed,Transfer,Tech36
SVC980,Chinedu Okeke,Honda Accord,Brake Repair,4/20/2024,"$129,598.90 ",Completed,Cash,Tech29
SVC1731,Emeka Obi,Toyota Corolla,Ac Service,10/17/2023,"$58,624.10 ",Pending,Transfer,Tech50
SVC1733,Tunde Bakare,Nissan Altima,Unknown Service,1/12/2023,"$94,390.80 ",Cancelled,Card,Tech22
SVC1734,Jane Smith,Kia Rio,Ac Service,8/4/2023,"$105,107.60 ",Completed,Card,Tech41
SVC1735,Fatima Bello,Nissan Altima,Ac Service,12/16/2023,"$106,392.10 ",In Progress,Cash,Tech18
SVC1736,Emeka Obi,Toyota Corolla,Engine Diagnostics,10/17/2023,"$75,643.00 ",In Progress,Transfer,Tech41
SVC1737,Jane Smith,Kia Rio,Oil Change,12/9/2025,"$80,871.40 ",Pending,Card,Tech50
SVC1738,Grace Johnson,Ford Focus,Unknown Service,11/17/2023,"$6,424.10 ",Pending,Cash,Tech42
SVC1740,Jane Smith,Toyota Corolla,Battery Replacement,6/5/2024,"$55,815.70 ",Completed,Card,Tech48
SVC1743,Chinedu Okeke,Kia Rio,Unknown Service,11/7/2024,"$83,447.50 ",In Progress,Cash,Tech19
SVC1745,Tunde Bakare,Toyota Corolla,Wheel Alignment,21/10/2023,"$116,936.90 ",Completed,Card,Tech39
SVC1747,Adewale Musa,Toyota Corolla,Battery Replacement,3/16/2025,"$739,422.80 ",Completed,Cash,Tech20
SVC1748,Emeka Obi,Honda Accord,Unknown Service,6/14/2025,"$117,218.40 ",Pending,Card,Tech18
SVC976,Chinedu Okeke,Honda Accord,Battery Replacement,3/13/2024,"$69,038.80 ",Pending,Card,Tech47
SVC1750,Tunde Bakare,Nissan Altima,Brake Repair,11/3/2024,"$86,170.10 ",In Progress,Card,Tech11
SVC1751,Jane Smith,Nissan Altima,Brake Repair,7/15/2024,"$137,100.90 ",Completed,Card,Tech33
SVC1752,John Doe,Honda Accord,Engine Diagnostics,29/12/2023,"$145,815.40 ",Completed,Card,Tech6
SVC1753,John Doe,Hyundai Elantra,Battery Replacement,8/12/2025,"$17,009.60 ",Completed,Card,Tech28
SVC1754,Grace Johnson,Ford Focus,Brake Repair,7/31/2025,"$126,235.30 ",Pending,Transfer,Tech12
SVC1755,Chinedu Okeke,Honda Accord,Ac Service,27/04/2025,"$132,193.80 ",Cancelled,Cash,Tech18
SVC1756,Adewale Musa,Honda Accord,Ac Service,7/5/2023,"$126,114.90 ",Completed,Transfer,Tech41
SVC1757,Jane Smith,Honda Accord,Wheel Alignment,3/11/2023,"$117,144.30 ",Completed,Transfer,Tech46
SVC1758,John Doe,Honda Accord,Oil Change,1/17/2024,"$106,686.80 ",Completed,Cash,Tech6
SVC1760,Grace Johnson,Ford Focus,Oil Change,24/03/2023,"$68,656.30 ",In Progress,Card,Tech49
SVC1761,Emeka Obi,Kia Rio,Wheel Alignment,13/10/2023,"$101,193.90 ",In Progress,Transfer,Tech45
SVC1762,Jane Smith,Hyundai Elantra,Ac Service,12/19/2023,"$49,591.40 ",Pending,Cash,Tech34
SVC1763,John Doe,Toyota Corolla,Unknown Service,7/24/2023,"$84,725.20 ",In Progress,Transfer,Tech27
SVC1764,Tunde Bakare,Ford Focus,Wheel Alignment,10/31/2024,"$123,869.70 ",Completed,Cash,Tech26
SVC1765,Emeka Obi,Toyota Corolla,Battery Replacement,1/11/2025,"$777,111.10 ",In Progress,Transfer,Tech50
SVC1766,Tunde Bakare,Toyota Corolla,Unknown Service,1/4/2024,"$26,858.40 ",Completed,Card,Tech50
SVC1767,John Doe,Honda Accord,Oil Change,5/15/2025,"$48,928.40 ",Completed,Cash,Tech47
SVC1768,Adewale Musa,Kia Rio,Ac Service,13/06/2023,"$6,008.70 ",Completed,Cash,Tech25
SVC1769,Fatima Bello,Nissan Altima,Unknown Service,9/29/2025,"$58,230.10 ",Completed,Card,Tech5
SVC1770,Grace Johnson,Toyota Corolla,Oil Change,2/5/2023,"$52,071.70 ",Pending,Card,Tech42
SVC1772,Adewale Musa,Ford Focus,Battery Replacement,10/24/2023,"$67,509.60 ",Cancelled,Cash,Tech17
SVC1774,Grace Johnson,Hyundai Elantra,Unknown Service,27/08/2023,"$87,779.80 ",Cancelled,Transfer,Tech24
SVC986,Adewale Musa,Honda Accord,Ac Service,10/24/2025,"$92,670.30 ",Completed,Transfer,Tech33
SVC1776,Chinedu Okeke,Nissan Altima,Battery Replacement,18/07/2023,"$37,599.60 ",Completed,Transfer,Tech22
